Type	Gene	Text
TextMining	HIST1H4F	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST1H4H	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST1H4I	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST1H4J	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST1H4K	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST1H4L	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST2H4A	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST2H4B	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST4H4	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HPRT1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	hsa-miR-128-1-5p	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	hsa-miR-541-5p	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HSPA4L	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HUS1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
